1000	0.7065
10000	0.9672
100001	0.604
100003	0.9942
100005	0.9843
100009	0.5496000000000001
100011	0.8669
100013	0.9395
100015	0.8607
100017	0.6804
100019	0.9708
10002	0.6672
100021	0.9449
100023	0.9782
100025	0.6883999999999999
100029	0.9747
100033	0.6247
100035	0.984
100037	0.6964
100039	0.9906
10004	0.8809
100041	0.9613
100043	0.6612
100045	0.6596
100047	0.9713999999999999
100049	0.9949
100051	0.9809
100053	0.9613
100055	0.748
100057	0.9795
100059	0.8974
10006	0.8141
100061	0.9788
100063	0.989
100065	0.976
100067	0.9441
100069	0.9296
100073	0.8092
100075	0.9838
100077	0.9267
100079	0.9638
10008	0.9769
100081	0.9815
100083	0.9891
100085	0.9867
100087	0.9943
100089	0.962
100091	0.9599
100093	0.9744
100095	0.9919
100097	0.7537
100099	0.9874
10010	0.9524
100101	0.963
100103	0.9706
100105	0.9589
100107	0.9823
100109	0.989
100111	0.8294
100113	0.9924
100115	0.9782
100117	0.9665
100119	0.97
10012	0.8577
100121	0.7134
100123	0.9394
100125	0.9946
100127	0.8961
100129	0.9195
100133	0.9703
100135	0.9744
100137	0.9681
100139	0.9588000000000001
10014	0.9701
100141	0.9777
100143	0.9013
100145	0.9014
100147	0.9896
100149	0.9839
100151	0.9727
100153	0.9576
100155	0.9248
100157	0.9661
10016	0.9568
100161	0.9636
100163	0.906
100165	0.9782
100167	0.9674
100169	0.9736
100171	0.9372
100173	0.9852
100175	0.6098
100177	0.8951
100179	0.8269
10018	0.9557
100181	0.7673
100183	0.8934
100185	0.8308
100187	0.957
100189	0.6516
100191	0.9771
100193	0.9671
100195	0.8828
100197	0.9744
100199	0.97
1002	0.9844
10020	0.9944
100201	0.9398
100203	0.97
100207	0.7944
100209	0.9881
100211	0.863
100213	0.9846
100215	0.9818
100217	0.9909
100219	0.9782
10022	0.7523
100221	0.9896
100223	0.8189
100225	0.9958
100227	0.8445
100229	0.9683
100231	0.9701
100233	0.62
100235	0.9843
100237	0.9607
100241	0.9516
100243	0.9892
100245	0.9686
100247	0.9462
100255	0.9909
100257	0.9775
100259	0.9768
10026	0.964
100261	0.9054
100263	0.9858
100267	0.8949
100269	0.9943
100271	0.99
100273	0.9842
100275	0.909
100277	0.9795
10028	0.9143999999999999
100281	0.9714
100283	0.9439
100287	0.9885
100289	0.9801
100291	0.9719
100293	0.97
100295	0.9808
100297	0.9537
100299	0.9652
10030	0.9424
100301	0.9692
100303	0.9584
100305	0.7562
100307	0.9972
100309	0.9816
100311	0.9823
100313	0.9816
100315	0.9794
100317	0.9734
100319	0.9782
100321	0.9744
100323	0.9252
100325	0.9703
100327	0.9782
100329	0.9729
100331	0.9562
100333	0.9619
100337	0.9667
100339	0.9753
100341	0.982
100343	0.9464
100345	0.9635
100347	0.9744
100349	0.9923
100351	0.9769
100353	0.9762
100355	0.8983
100357	0.9593
100359	0.9944
10036	0.9085
100361	0.9537
100363	0.9687
100365	0.9836
100367	0.8715
100369	0.8354999999999999
100373	0.9782
100375	0.978
100377	0.9871
100379	0.9883
10038	0.9771
100381	0.989
100383	0.966
100385	0.9897
100389	0.9896
100391	0.9844
100393	0.9575
100395	0.958
100397	0.9744
100399	0.9838
1004	0.8568
100401	0.9731
100403	0.9857
100405	0.9865
100407	0.9221
100409	0.9744
100411	0.9018
100417	0.9689
100419	0.9381
100421	0.9924
100423	0.9776
100425	0.9643
100427	0.9755
100429	0.9862
100431	0.9782
100433	0.8304
100435	0.8494
100437	0.98
100439	0.9158
100441	0.9659
100443	0.9854
100449	0.9791
100451	0.9903
100453	0.9548
100455	0.7938
100457	0.5523
10046	0.9386
100461	0.9763
100463	0.8366
100465	0.9882
100467	0.9491
